jobs: [(21,1), (2,14), (3,12), (5,10), (3,18), (3,20), (20,4), (3,29), (3,32), (6,16), (3,33), (10,10), (3,34), (14,8), (26,5), (22,7), (15,11), (22,8), (8,23), (7,30), (22,13), (15,20), (34,9), (15,22), (36,11), (20,25), (18,28), (25,22), (16,38), (36,17), (33,19), (32,20), (28,24), (22,39), (23,38), (39,24), (32,32), (27,39), (33,32), (39,30)]
iter1: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter2: [1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter3: [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter4: [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

jobs: [(1,12), (19,1), (2,11), (6,4), (2,13), (9,4), (2,26), (3,28), (3,29), (3,31), (6,16), (3,34), (8,13), (19,7), (5,35), (8,22), (27,7), (20,13), (31,9), (12,25), (8,38), (9,36), (13,26), (11,33), (23,17), (20,23), (14,35), (35,14), (28,20), (17,38), (19,35), (33,22), (22,34), (20,38), (36,22), (39,27), (38,28), (30,38), (33,39), (39,40)]
iter1: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter2: [1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter3: [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter4: [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

jobs: [(4,1), (13,1), (9,5), (6,9), (36,2), (2,38), (10,10), (9,12), (7,18), (6,23), (35,4), (35,4), (4,39), (16,10), (33,5), (16,12), (15,16), (14,22), (29,11), (32,10), (14,23), (19,17), (13,25), (34,10), (11,36), (26,19), (14,37), (27,20), (19,29), (23,24), (24,24), (20,30), (33,22), (35,25), (29,33), (36,33), (34,36), (36,34), (39,32), (37,39)]
iter1: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter2: [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter3: [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter4: [1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

jobs: [(1,2), (2,1), (14,1), (12,3), (13,3), (8,8), (10,7), (11,7), (3,28), (4,21), (11,8), (10,9), (5,19), (14,7), (8,14), (40,3), (4,35), (8,19), (15,13), (11,18), (11,21), (36,7), (33,8), (8,36), (17,17), (23,13), (8,38), (10,35), (18,20), (17,27), (29,16), (26,21), (39,14), (21,34), (19,38), (30,29), (40,22), (35,29), (30,37), (40,31)]
iter1: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter2: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter3: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter4: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

jobs: [(7,4), (52,1), (11,5), (7,9), (16,4), (3,23), (2,36), (4,32), (17,8), (2,70), (47,4), (12,16), (6,33), (9,25), (8,30), (35,7), (14,19), (10,27), (6,50), (65,5), (6,56), (23,15), (39,9), (6,66), (14,29), (75,6), (56,9), (22,25), (57,10), (59,10), (30,21), (13,49), (15,46), (15,46), (30,23), (16,50), (33,26), (40,22), (44,20), (23,42), (44,22), (62,16), (64,17), (62,18), (75,15), (49,23), (54,22), (35,34), (51,24), (52,25), (52,28), (77,20), (55,29), (62,29), (34,57), (51,38), (54,36), (45,47), (54,40), (41,53), (42,52), (43,60), (52,53), (51,59), (76,41), (46,70), (76,44), (71,49), (67,52), (74,48), (64,61), (80,49), (76,52), (71,58), (68,62), (67,69), (80,60), (75,70), (77,70), (73,77)]
iter1: [1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter2: [1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter3: [1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter4: [1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

jobs: [(2,16), (47,2), (32,3), (3,34), (30,5), (80,3), (4,66), (59,5), (35,10), (64,6), (5,79), (36,11), (9,45), (20,21), (55,8), (53,9), (14,35), (72,7), (35,16), (71,8), (41,14), (33,18), (16,38), (52,12), (19,33), (42,15), (11,73), (15,54), (70,12), (53,16), (25,35), (27,35), (79,12), (32,30), (46,21), (40,25), (20,54), (35,31), (61,18), (62,18), (22,51), (41,28), (34,35), (22,55), (27,45), (76,16), (79,17), (40,34), (36,38), (40,36), (27,55), (27,56), (22,72), (44,36), (38,43), (55,32), (74,25), (65,30), (27,75), (69,34), (42,56), (53,46), (58,45), (34,80), (42,65), (59,48), (39,73), (70,42), (57,56), (71,50), (73,50), (72,51), (58,64), (57,67), (79,49), (60,76), (76,60), (68,72), (79,64), (68,80)]
iter1: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter2: [1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter3: [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter4: [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

jobs: [(1,6), (39,2), (80,1), (4,52), (65,4), (40,9), (37,10), (47,8), (33,12), (58,7), (9,46), (9,57), (27,19), (75,7), (18,31), (28,20), (25,23), (39,15), (27,23), (26,24), (10,67), (62,11), (43,16), (13,53), (19,37), (34,22), (77,10), (63,13), (63,13), (40,21), (35,27), (38,25), (16,62), (19,53), (78,13), (41,26), (18,62), (37,34), (34,38), (30,45), (17,80), (20,68), (61,23), (42,35), (54,29), (22,73), (30,54), (80,22), (36,49), (26,71), (64,29), (68,29), (39,53), (49,45), (46,48), (46,49), (54,42), (51,47), (51,51), (49,57), (55,51), (64,44), (41,69), (43,67), (64,46), (64,46), (65,48), (65,49), (46,70), (59,59), (77,47), (70,52), (52,77), (67,62), (80,52), (75,56), (77,56), (80,66), (77,72), (78,77)]
iter1: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
