jobs: [(7,1), (6,5), (6,5), (23,2), (32,2), (18,4), (3,26), (33,3), (5,42), (18,14), (37,7), (22,14), (38,9), (16,22), (44,8), (16,23), (6,65), (8,52), (13,32), (7,60), (8,54), (16,27), (7,64), (8,58), (45,12), (8,69), (30,20), (54,12), (9,76), (11,65), (28,26), (60,13), (49,18), (57,16), (23,40), (69,16), (36,31), (60,19), (17,68), (50,24), (19,69), (60,22), (22,62), (50,28), (43,34), (22,79), (26,69), (73,25), (38,51), (42,47), (62,33), (45,46), (37,56), (29,72), (49,50), (80,31), (56,45), (63,40), (51,56), (74,41), (53,58), (44,71), (49,64), (46,71), (54,65), (74,49), (70,54), (73,53), (55,74), (62,67), (63,66), (61,69), (68,64), (78,57), (72,62), (76,62), (66,76), (70,72), (76,69), (80,72)]
iter1: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter2: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter3: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter4: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

jobs: [(1,28), (1,39), (1,71), (79,1), (60,3), (67,4), (65,5), (18,20), (20,19), (27,15), (30,16), (7,69), (20,30), (32,19), (8,77), (13,50), (10,66), (37,19), (21,34), (72,10), (15,50), (48,16), (11,72), (15,56), (47,19), (15,61), (25,37), (27,35), (68,14), (49,20), (14,75), (32,33), (51,22), (23,49), (72,17), (37,34), (49,26), (34,39), (31,44), (21,65), (25,56), (67,21), (38,39), (71,22), (73,22), (24,67), (38,43), (62,27), (31,56), (31,57), (29,63), (29,64), (44,43), (60,33), (67,30), (68,30), (32,65), (33,69), (35,66), (43,58), (68,37), (51,53), (37,74), (75,37), (77,37), (41,70), (59,52), (45,70), (55,59), (52,65), (43,79), (58,61), (50,74), (80,54), (74,60), (76,59), (77,60), (62,77), (79,62), (80,71)]
iter1: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter2: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter3: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter4: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

jobs: [(1,1), (1,11), (4,10), (8,8), (3,25), (17,6), (25,5), (3,42), (10,14), (5,30), (50,3), (6,26), (26,6), (23,8), (33,6), (8,25), (47,5), (9,27), (4,67), (73,4), (32,10), (64,5), (17,19), (10,34), (6,62), (37,12), (48,13), (56,14), (73,11), (62,13), (27,30), (26,33), (31,28), (27,34), (17,57), (32,32), (20,52), (24,45), (16,69), (39,29), (23,51), (19,63), (24,51), (36,34), (49,25), (38,33), (53,24), (38,34), (21,65), (75,19), (75,19), (22,66), (25,63), (43,39), (26,67), (35,51), (46,40), (32,58), (53,36), (26,76), (44,45), (52,41), (79,29), (43,58), (48,53), (45,60), (65,43), (35,80), (64,46), (41,72), (67,45), (61,50), (56,55), (54,64), (44,79), (60,64), (64,63), (71,71), (65,79), (78,72)]
iter1: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter2: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
iter3: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
